CLCODE,NAME,STNAME,ACTIVE,ESTYMD,NETINC,ASSET,EQ,REPDTE
21,The Farmers & Merchants Bank of Sheyenne,North Dakota,0,1/1/1906,-52,2899,10,9/30/1990
13,Pinnacle Bank,Nebraska,0,9/26/1916,563,72626,5553,6/30/2000
21,Valley Bank Brooklyn,Wisconsin,0,7/1/1900,92,17607,1563,6/30/1988
21,The Bank of Matamoras,Pennsylvania,0,7/28/1920,,,,
21,Wyoming County Bank,New York,0,01/01/1851,2314,730983,49524,9/30/2005
3,"SUNWEST Bank of Rio Arriba, National Association",New Mexico,0,1/1/1916,811,101550,20305,6/30/1997
21,The Fremont Savings Bank Company,Ohio,0,01/01/1882,,,,
21,The First State Bank of La Moure,North Dakota,0,7/30/1931,1292,95289,10924,12/31/2004
3,"Bank One, Wheeling-Steubenville, National Association",West Virginia,0,01/01/1871,-877,359547,33726,6/30/2003
21,Norstar Bank of Commerce,New York,0,12/31/1914,3005,476098,39994,6/30/1987
3,"NationsBank of Kentucky, National Association",Kentucky,0,01/15/1873,1124,172597,11716,6/30/1998
21,State Financial Bank,Wisconsin,0,6/10/1910,1629,322239,24849,9/30/2000
21,Belt American Bank of St. Joseph,Missouri,0,5/19/1919,573,80813,5853,9/30/1988
21,Lee County Bank,Florida,0,9/1/1919,1667,249211,21966,6/30/1985
3,The Citizens National Bank in Independence,Kansas,0,1/4/1934,163,92089,16392,3/31/1999
13,Bank of De Soto,Illinois,0,1/1/1920,118,19375,1917,9/30/1994
3,"Farmers Bank of Northern Missouri, National Association",Iowa,0,6/13/1900,1238,168180,14878,9/30/2000
13,Arvest Bank,Oklahoma,0,1/6/1934,386,130312,16898,3/31/2002
21,The Bank,Wisconsin,0,3/17/1916,130,55714,8398,6/30/1996
21,Community Bank,Oklahoma,0,1/1/1934,232,25307,1906,6/30/1991
13,Minden Bank & Trust Company,Louisiana,0,1/16/1934,1758,325395,35567,3/31/2000
21,Home State Bank,Texas,0,4/6/1921,-155,5401,55,12/31/1987
